yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp
195101,21.66,1.4867,2.8367,0.683599245,0.0134,0.0266,0.0317,0.0221,0.030045078,0.0013,0.016,0.0058,0.0019,0.001704689,0.005636073
195102,21.8,1.5033,2.8333,0.674866098,0.0136,0.0266,0.0316,0.0228,0.031120052,0.001,0.011811024,-0.0074,-0.0044,0.000650644,0.00551025
195103,21.4,1.52,2.83,0.7813946,0.014,0.0278,0.0323,0.0241,0.032686771,0.0011,0.003891051,-0.0157,-0.0237,0.001227665,0.005749029
195104,22.43,1.5333,2.7933,0.749430788,0.0147,0.0287,0.0335,0.0248,0.032092479,0.0013,0,-0.0063,-0.0009,0.000848198,0.004406234
195105,21.52,1.5467,2.7567,0.777889045,0.0155,0.0289,0.034,0.0254,0.030675027,0.0012,0.003875969,-0.0069,-0.0015,0.00140742,0.003968667
195106,20.96,1.56,2.72,0.800362677,0.0145,0.0294,0.0349,0.0259,0.036341121,0.0012,0,-0.0062,-0.0093,0.001136773,0.004064516
195107,22.4,1.5467,2.65,0.753121849,0.0156,0.0294,0.0353,0.0252,0.032598596,0.0013,0,0.0138,0.0205,0.001408208,0.003715416
195108,23.28,1.5333,2.58,0.718593895,0.0162,0.0288,0.035,0.0246,0.0303212,0.0013,0,0.0099,0.0114,0.00058178,0.003921612
195109,23.26,1.52,2.51,0.716182328,0.0163,0.0284,0.0346,0.0253,0.028799506,0.0012,0.007722008,-0.008,-0.0057,0.000254769,0.00393371
195110,22.94,1.4833,2.4867,0.740232514,0.0154,0.0289,0.035,0.0254,0.029144255,0.0016,0.003831418,0.001,-0.0145,0.001511076,0.003841898
195111,22.88,1.4467,2.4633,0.74329238,0.0156,0.0296,0.0356,0.0264,0.031620967,0.0011,0.007633588,-0.0136,-0.0061,0.001023982,0.004017421
195112,23.77,1.41,2.44,0.721316347,0.0173,0.0301,0.0361,0.0269,0.036150788,0.0012,0.003787879,-0.0061,0.0058,0.000427036,0.004146893
195201,24.14,1.4133,2.4267,0.717425838,0.0157,0.0298,0.0359,0.0268,0.035150698,0.0015,0,0.0028,0.0199,0.000538421,0.003515476
195202,23.26,1.4167,2.4133,0.746693325,0.0154,0.0293,0.0353,0.0269,0.034871705,0.0012,-0.00754717,0.0014,-0.0085,0.000931601,0.003638871
195203,24.37,1.42,2.4,0.751874119,0.0159,0.0296,0.0351,0.0263,0.032094137,0.0011,0,0.0111,0.0076,0.000631815,0.00332273
195204,23.32,1.43,2.38,0.7863991,0.0157,0.0293,0.035,0.0254,0.033231449,0.0012,0.003802281,0.0171,-0.0004,0.000807835,0.003839016
195205,23.86,1.44,2.36,0.770517989,0.0167,0.0293,0.0349,0.0257,0.032149121,0.0013,0,-0.0033,0.0031,0.000526453,0.004511025
195206,24.96,1.45,2.34,0.738715088,0.017,0.0294,0.035,0.0259,0.02773127,0.0015,0.003787879,0.0003,0.0016,0.000325271,0.004430721
195207,25.4,1.45,2.3467,0.724710259,0.0181,0.0295,0.035,0.0261,0.027922825,0.0015,0.00754717,-0.002,0.0016,0.000344882,0.00411256
195208,25.03,1.45,2.3533,0.736620128,0.0183,0.0294,0.0351,0.0267,0.028042879,0.0015,0,-0.007,0.0063,0.000289537,0.003761577
195209,24.54,1.45,2.36,0.748678911,0.0171,0.0295,0.0352,0.0277,0.031038055,0.0016,0,-0.013,-0.0018,0.000441173,0.003504369
