,date,macro_0,macro_1,macro_2,macro_3,Rec,Neg_Rec,Recessions
0,1963-04-01,-0.19827609,-0.69642174,0.12903965,0.22352438,0,0,0
1,1963-05-01,-0.1558153,-0.3336728,0.048398927,0.26331493,0,0,0
2,1963-06-01,-0.26738805,-0.34062293,0.23856716,0.036338072,0,0,0
3,1963-07-01,-0.03731452,-0.18996318,0.06170925,0.2725216,0,0,0
4,1963-08-01,-0.18357576,-0.30503362,0.1367929,0.056881905,0,0,0
5,1963-09-01,-0.20655952,-0.15392692,0.098821536,0.34909472,0,0,0
6,1963-10-01,-0.21327615,-0.29243517,0.24984114,0.47538742,0,0,0
7,1963-11-01,-0.24578437,-0.0994135,0.12939999,0.25723425,0,0,0
8,1963-12-01,-0.17623469,-0.1546585,0.15780455,0.5698061,0,0,0
9,1964-01-01,-0.055055115,-0.33870867,0.052744094,0.4426119,0,0,0
10,1964-02-01,-0.06449788,0.05314287,0.111559436,0.37313724,0,0,0
11,1964-03-01,-0.014144035,-0.19806856,0.21340011,0.5578261,0,0,0
12,1964-04-01,-0.03974689,0.08175425,0.23812775,0.5482513,0,0,0
13,1964-05-01,-0.11230387,-0.103120804,0.13731843,0.22488506,0,0,0
14,1964-06-01,-0.125653,-0.21820886,0.10657793,0.37617522,0,0,0
15,1964-07-01,0.13904466,-0.38338363,0.09345236,0.69163465,0,0,0
16,1964-08-01,-0.056607634,0.03385407,0.074584395,0.5191537,0,0,0
17,1964-09-01,-0.06418784,-0.036187973,0.3713178,0.3967212,0,0,0
18,1964-10-01,-0.032270845,-0.06576503,0.17491673,0.5597533,0,0,0
19,1964-11-01,-0.06905139,0.13160855,0.19417557,0.47424084,0,0,0
20,1964-12-01,0.0017492534,-0.095382385,0.28428763,0.54149014,0,0,0
21,1965-01-01,-0.013876689,0.14984018,0.18979304,0.36585698,0,0,0
22,1965-02-01,0.15439866,0.56561595,0.018744413,0.2981567,0,0,0
23,1965-03-01,-0.24851465,-0.09317316,-0.30505857,0.47140333,0,0,0
24,1965-04-01,-0.04211057,-0.045674074,-0.11493447,0.10494988,0,0,0
25,1965-05-01,-0.18302293,0.14383414,-0.04704126,0.4926634,0,0,0
26,1965-06-01,-0.03107029,-0.024807803,0.46620694,0.41287822,0,0,0
27,1965-07-01,-0.04311598,0.17062281,0.06746813,0.23061094,0,0,0
28,1965-08-01,0.14804621,0.4585173,0.07948953,0.6596452,0,0,0
29,1965-09-01,-0.11076744,0.57210505,0.3342439,-0.01035364,0,0,0
30,1965-10-01,-0.1719208,0.51807237,0.43580025,-0.44104323,0,0,0
31,1965-11-01,-0.2249415,-0.029798819,0.57768005,-0.096884705,0,0,0
32,1965-12-01,-0.07080314,-0.08504406,0.27998507,-0.012110866,0,0,0
33,1966-01-01,-0.184655,-0.040958192,0.2758003,0.07076905,0,0,0
34,1966-02-01,-0.21512622,0.25040475,0.14700866,0.09661107,0,0,0
35,1966-03-01,-0.06241343,0.07831212,0.5101559,0.15162465,0,0,0
36,1966-04-01,0.035306793,0.22342573,0.2685424,0.3947032,0,0,0
37,1966-05-01,0.06826352,0.34270737,0.24806657,0.3089439,0,0,0
38,1966-06-01,0.04909205,0.43387157,0.44171053,0.2431198,0,0,0
39,1966-07-01,0.1889684,0.5232531,0.16877195,0.0641235,0,0,0
40,1966-08-01,0.40643674,0.7902834,0.093776934,0.60873,0,0,0
41,1966-09-01,0.40677458,0.56421125,0.3819658,0.24778627,0,0,0
42,1966-10-01,0.31538227,0.48522305,0.12599313,0.090428956,0,0,0
43,1966-11-01,0.5231376,0.61200255,0.041573334,0.4825872,0,0,0
44,1966-12-01,0.42543513,0.22083704,0.23022999,0.0028099357,0,0,0
45,1967-01-01,0.28107485,0.33217663,0.27672705,-0.03099022,0,0,0
46,1967-02-01,-0.056400977,-0.08974975,0.36492515,0.21648706,0,0,0
47,1967-03-01,0.056292146,-0.251905,0.28285527,0.12344339,0,0,0
48,1967-04-01,0.03140474,-0.54789066,0.30620903,0.07728988,0,0,0
49,1967-05-01,-0.1501957,-0.76251954,0.14774606,0.023813441,0,0,0
