,date,macro_0,macro_1,macro_2,macro_3,Rec,Neg_Rec,Recessions
0,1963-02-01,0.09480676,0.324591,-0.029126687,-0.06808891,0,0,0
1,1963-03-01,-0.049424294,0.4006818,-0.34236676,-0.3940375,0,0,0
2,1963-04-01,0.054156613,0.33556342,-0.084459595,-0.10866503,0,0,0
3,1963-05-01,0.20276242,0.2979009,-0.031925652,-0.06918609,0,0,0
4,1963-06-01,0.051673938,0.0779595,0.024216536,-0.2134312,0,0,0
5,1963-07-01,0.0489467,-0.33912325,-0.03929124,-0.14679831,0,0,0
6,1963-08-01,0.034724306,0.10005063,-0.05640768,-0.330142,0,0,0
7,1963-09-01,-0.07698846,-0.0976675,0.0640798,-0.19146304,0,0,0
8,1963-10-01,0.06661427,-0.1653441,-0.1047922,-0.4749311,0,0,0
9,1963-11-01,-0.008367167,0.04226858,-0.04328861,-0.07598737,0,0,0
10,1963-12-01,0.057628043,-0.022531502,0.23436031,-0.25456956,0,0,0
11,1964-01-01,0.029066972,-0.069488965,0.028591096,-0.19909844,0,0,0
12,1964-02-01,0.3858004,0.01385826,-0.012679599,-0.25583637,0,0,0
13,1964-03-01,0.08383149,0.3159325,0.08123913,-0.3430926,0,0,0
14,1964-04-01,0.043330327,0.13444711,0.15601668,-0.42620218,0,0,0
15,1964-05-01,0.11652182,0.090340525,0.14123589,-0.09444376,0,0,0
16,1964-06-01,0.10711181,0.7131457,0.008619016,-0.7080057,0,0,0
17,1964-07-01,-0.20314714,0.2309874,0.09781259,-0.28257397,0,0,0
18,1964-08-01,-0.11802931,0.19158362,0.0071764793,-0.16194373,0,0,0
19,1964-09-01,-0.33766478,0.31734827,0.29729196,-0.24877125,0,0,0
20,1964-10-01,-0.19504331,0.09043895,0.050742764,-0.23482296,0,0,0
21,1964-11-01,-0.2829201,0.20380129,0.086841375,-0.19434385,0,0,0
22,1964-12-01,0.21704152,0.024843374,0.047833502,-0.4162961,0,0,0
23,1965-01-01,0.03674173,0.5856901,-0.093772165,-0.052146986,0,0,0
24,1965-02-01,0.06931073,0.04596936,-0.10050731,0.05446645,0,0,0
25,1965-03-01,-0.09618192,0.072525546,-0.030320166,0.0509098,0,0,0
26,1965-04-01,-0.2181704,0.21296285,-0.006849385,0.1920033,0,0,0
27,1965-05-01,-0.21523194,0.099599004,0.087350994,0.2717847,0,0,0
