date,CMRMTSPLx,IPDCONGD,HWI,CES0600000007,AWHMAN,COMPAPFFx,EXSZUSx,DTCTHFNM,cum_return_1_0,fc2y,oa,rel_to_high_price,s2p,suv,dp,tms,svar
196209,-0.0055148205014941,0.0216426165960328,0,40.1,40.5,0.65,0.000417004523591835,-0.00238173971477984,0.0664265718,0,0,0.0913310380929617,0,-0.603706868,0.0526340961246627,0.012,0.001176998
196210,0.0231270087526312,-0.0140164170458776,-1,40.1,40.5,0.37,0.00113429876624771,0.000232594738511338,-0.0771580148,0,0,-0.048682178620076,0,-1.092758103,0.00356376208469067,0.0121,0.003452108
196211,-0.015737722710961,0.0129469601215293,0,40.1,40.5,0.44,0.000300720575023172,-0.00963663681106475,-0.006790456,0,0,-0.0268112574033928,0,-0.388680453,-0.0888385805802216,0.0113,0.001274783
196212,0.0198140707618624,0.00428020714001365,-1,39.9,40.3,0.37,-0.000439545193478441,0.00306579831620191,0.1518462823,0,0,-0.0485592126531139,0,0.8403033047,-0.00553033159834149,0.0108,0.000543882
196301,0.0105083532204482,0.00106489164073675,0,40.1,40.5,0.29,-0.00134296584044624,0.00457929966711923,-0.1317581273,0,0,-0.0483185772538077,0,0.9856757067,-0.0448190903503232,0.0107,0.00069977
196302,-0.0277507717712986,0.00743637779128958,0,39.6,40.3,0.36,0.000139011167454184,0.00320618540697382,0.1391229294,0,0,0.155564107714857,0,0.0422098213,0.0323604793835117,0.0108,0.000392133
196303,0.0132498302824295,0.0105225579727328,1,40,40.5,0.42,0.00203661344667005,-0.0119942739588428,-0.1409350374,0,0,0,0,0.4720018418,-0.0317287826803949,0.0112,0.000359936
196304,0.0128363728337764,0.0104174642974235,0,39.9,40.5,0.25,-0.000138728323922033,-0.00109908387782021,0.0921528154,0,0,0.00843886859501711,0,-1.113945321,-0.0396425535647618,0.0115,0.00032216
196305,-0.00454578130337424,0.002071426915359,0,40.1,40.5,0.36,0.000901390282103565,0.00159614060461166,-0.0807183034,0,0,-0.0826035284740989,0,-0.050758369,-0.00659276997493752,0.0113,0.000303656
196306,0.0174025642943665,0.00823863175266926,0,40.2,40.5,0.42,0.000138603340562593,0.00803477629059302,0.082582584,0,0,0.171434742144244,0,0.0711762747,0.0280243699798,0.0108,0.000261098
196307,0.00642067635731713,0.0162763923999107,-1,40.1,40.5,0.25,-0.00120186766189256,0.000978822613260988,-0.080681184,0,0,-0.0265314002830542,0,-0.625704306,0.00496458356377261,0.0089,0.000529797
196308,-0.0124990099100302,0.0170109044660527,0,40.3,40.7,0.39,6.9377796820147e-05,0.00357575686408929,0.021114166,0,0,0.00924733794781436,0,-0.129455709,-0.0460558214845639,0.0076,0.000326909
196309,0.0257333814146925,-0.000995195689550421,1,40.2,40.6,0.47,-0.000161889013871264,-0.00209817149272773,0.0424730019,0,0,0.0438249997150987,0,-0.115397754,0.0125901428778175,0.00720000000000001,0.00032991
196310,-0.00444827637107537,0.00198511869781903,0,40.2,40.6,0.23,-0.00152767198657022,-0.000625698777211525,-0.0430911699,0,0,-0.0414066188807112,0,-0.285886599,-0.0212216748891696,0.007,0.000503532
196311,-0.00948436252360807,0.0176825190564789,0,40.2,40.6,0.4,-0.000301180397749956,-0.00736458383095062,0.0165426734,0,0,0.0152811962361914,0,-0.255906871,0.0210183030878324,0.0062,0.003110166
196312,0.0270442913373472,0.000975823217902239,1,40.4,40.7,0.38,0,0.00416676375390956,-0.0196390894,0,0,-0.0176995770705789,0,-0.565088185,-0.0138776978101411,0.0065,0.000273567
196401,-0.0198963810631092,0.00967706974998572,-1,40.2,40.7,0.4,0.000231685279753924,-0.00130162563298342,0.0192733898,0,0,0.00321496696982367,0,-0.170555931,-0.0192721557622462,0.0069,0.000183341
