,date,macro_0,macro_1,macro_2,macro_3,macro_4,macro_5,Rec,Neg_Rec,Recessions
0,1963-08-01,-0.031115638,0.22402234,-0.012212605,0.013887021,-0.13768451,-0.27298278,0,0,0
1,1963-09-01,-0.06721676,0.22138499,-0.29126406,0.015511086,-0.38505638,-0.0068984553,0,0,0
2,1963-10-01,0.12551165,0.09172427,-0.19659227,-0.0152962925,-0.31516317,-0.20591617,0,0,0
3,1963-11-01,0.14849895,0.18384202,-0.2157652,-0.18721163,-0.3255888,-0.13081974,0,0,0
4,1963-12-01,0.06392147,0.05933969,-0.07338292,-0.05572143,-0.59576946,-0.06769012,0,0,0
5,1964-01-01,0.049270038,0.096395284,-0.20338865,-0.13917759,-0.15225413,-0.17250805,0,0,0
6,1964-02-01,0.07132901,0.066661835,-0.088263005,-0.18383273,-0.102028556,-0.12642212,0,0,0
7,1964-03-01,0.07850417,0.057745587,-0.20625944,-0.12134309,-0.4951575,0.04136311,0,0,0
8,1964-04-01,0.15112177,0.04823318,0.017998874,-0.14224392,-0.4336613,-0.1902774,0,0,0
9,1964-05-01,0.014254297,0.07358243,-0.30455002,-0.10431783,-0.18411097,-0.42238304,0,0,0
10,1964-06-01,0.03696237,0.045311194,-0.12717642,-0.18732306,-0.26162282,-0.27166173,0,0,0
11,1964-07-01,-0.0695485,0.009658515,-0.065598816,-0.114513926,-0.2665263,-0.18976735,0,0,0
12,1964-08-01,-0.11252465,0.0037335858,-0.012811166,-0.101566486,0.017467242,-0.18590815,0,0,0
13,1964-09-01,-0.22164169,-0.09538396,0.12400031,-0.11402593,0.0061957343,-0.27590367,0,0,0
14,1964-10-01,-0.30371115,-0.00078440766,-0.12662238,-0.03325155,0.09541175,-0.41920173,0,0,0
15,1964-11-01,-0.36358997,0.23090824,-0.014426343,-0.24813285,-0.12985763,-0.0475698,0,0,0
16,1964-12-01,-0.5280886,0.1883574,-0.1666944,-0.10429881,-0.039462067,-0.23133834,0,0,0
17,1965-01-01,0.014207905,0.18290071,-0.025649639,-0.29864913,-0.2848368,-0.0967617,0,0,0
18,1965-02-01,0.41661292,0.10924116,-0.13609262,-0.24553683,-0.7435127,0.0479286,0,0,0
19,1965-03-01,0.23386869,0.17212948,-0.07933362,-0.06260031,-0.33069846,0.16987935,0,0,0
20,1965-04-01,0.15842207,0.06523696,0.051917322,-0.095106624,-0.3830669,-0.16362384,0,0,0
21,1965-05-01,0.09049197,0.093838885,0.20617437,-0.28984874,-0.5679069,0.049045004,0,0,0
22,1965-06-01,-0.069071926,0.08105581,0.32038796,-0.06614242,-0.13639882,0.019479485,0,0,0
23,1965-07-01,0.034128875,0.009167483,0.11110904,-0.030076815,-0.037347488,-0.113838,0,0,0
24,1965-08-01,0.219804,0.009632547,-0.15469219,0.01852798,0.23828064,-0.00084771623,0,0,0
25,1965-09-01,0.40001205,0.08610603,-0.13184187,0.042763207,0.19299532,0.085810155,0,0,0
26,1965-10-01,0.32752845,0.13837783,-0.095677175,0.009764444,0.07195812,0.05544991,0,0,0
27,1965-11-01,0.196773,0.10183023,0.01778617,-0.03069481,0.07336094,0.20150416,0,0,0
28,1965-12-01,0.066228114,0.115038924,-0.01128455,-0.07523677,0.04194518,0.31429505,0,0,0
29,1966-01-01,-0.11855315,-0.005415948,0.18622097,-0.057466775,-0.030582009,0.18106797,0,0,0
30,1966-02-01,-0.25651503,0.043597236,0.33533072,-0.086587004,0.015402938,0.28994462,0,0,0
31,1966-03-01,-0.286434,0.054492157,0.29793665,-0.025504649,0.18004663,0.41417202,0,0,0
32,1966-04-01,-0.20539506,0.09407769,0.36614084,-0.08264216,0.26350033,0.1302227,0,0,0
33,1966-05-01,-0.45467168,0.18487516,0.4907474,-0.08610116,0.36696827,0.14406641,0,0,0
34,1966-06-01,-0.3074606,0.092821166,0.5997895,-0.03246712,0.323955,-0.12173967,0,0,0
35,1966-07-01,-0.6074789,0.16752653,0.4961608,-0.039878022,0.24126156,0.12669034,0,0,0
36,1966-08-01,-0.14719313,0.17295118,0.59183574,-0.15905951,0.799041,-0.012989423,0,0,0
37,1966-09-01,-0.52323854,0.11391927,0.24521331,-0.01489793,0.290611,-0.44320646,0,0,0
38,1966-10-01,-0.45476717,0.07494365,0.27881756,-0.087670326,0.4349271,-0.05173696,0,0,0
39,1966-11-01,-0.2738341,0.11684022,0.5922667,-0.1762429,0.42202953,-0.10890843,0,0,0
40,1966-12-01,-0.22763874,0.062086258,0.34624258,-0.08423811,0.21756741,-0.3775009,0,0,0
41,1967-01-01,-0.27886236,0.28206542,-0.117388904,0.014553731,0.17357095,-0.016805442,0,0,0
42,1967-02-01,-0.05526254,0.38973314,-0.4381316,0.002396273,0.3870107,0.020541092,0,0,0
43,1967-03-01,0.0138742905,0.28058052,-0.15268049,0.02484835,0.0970917,0.019018978,0,0,0
44,1967-04-01,0.041720536,0.28316042,-0.25899825,0.120207444,0.33884895,-0.013277544,0,0,0
45,1967-05-01,0.07088201,0.38860217,-0.22793621,0.026181104,0.5733316,0.13810386,0,0,0
46,1967-06-01,-0.14256434,0.17970493,-0.34117255,-0.030540667,0.47910053,0.2535165,0,0,0
47,1967-07-01,-0.20265982,0.11327938,-0.5142778,-0.033054583,0.36215147,0.09506716,0,0,0
48,1967-08-01,-0.28000697,0.12936525,-0.31997782,-0.11978436,0.25328863,-0.012447929,0,0,0
49,1967-09-01,-0.25390247,-0.0024864525,-0.13568424,-0.11497432,0.03872649,-0.19545075,0,0,0
50,1967-10-01,-0.3166828,-0.015816096,-0.10530138,-0.19043446,0.30029464,0.028136535,0,0,0
51,1967-11-01,-0.30010542,-0.28045204,0.037065115,-0.10931685,-0.07401194,0.14167431,0,0,0
52,1967-12-01,-0.20521681,-0.04398812,-0.09573341,-0.33407807,0.12775536,0.21393783,0,0,0
53,1968-01-01,0.113726385,0.10726209,-0.0022602077,-0.3608267,-0.28562415,0.10166627,0,0,0
54,1968-02-01,0.40674514,0.11062782,0.037410416,-0.09468552,-0.34489682,0.17572102,0,0,0
55,1968-03-01,0.23056866,0.05314476,0.064464375,-0.0752586,-0.22934178,-0.08221463,0,0,0
56,1968-04-01,0.17394409,0.034177393,-0.21439973,-0.33891422,-0.17192602,0.02398677,0,0,0
